Rank,Team,Wins,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM,PtsPerGame
79,Providence ,18,8.65,105,96.3,67.9,-0.018,6.14,108.5,102.4,-2.58,71.4
80,East Tennessee St.,24,8.48,109.9,101.4,67.2,0.011,-1.29,105.4,106.6,-2.21,79.2
81,Oregon St.,18,8.33,111.7,103.4,65.7,-0.04,3.33,105.5,102.1,-3.48,73.4
82,USC,16,8.25,109.8,101.5,69.6,-0.096,3.68,105.6,101.9,-2.26,76.3
83,Oklahoma St.,12,8.16,109.5,101.3,66.1,-0.01,13.12,110.4,97.3,5.41,68.1
84,Illinois,12,7.97,109.1,101.1,70.6,-0.052,12.16,109.6,97.5,3.39,72.7
85,Davidson ,24,7.78,108.2,100.4,64.7,0.054,0.66,104.6,103.9,2.06,70.5
86,BYU,19,7.72,112,104.3,70.9,0.027,2.93,106,103.1,-0.12,79
87,UNC Greensboro ,29,7.63,106.4,98.8,67.8,0.167,-0.37,105.7,106,-3.22,76
88,St. John's ,21,7.61,108.6,101,70.8,0.06,5,106.9,101.9,-6.49,77.5
89,Northeastern ,23,7.59,111,103.4,66.2,0.05,-0.63,106.3,106.9,6.45,76.1
90,San Diego ,21,7.58,105.9,98.3,66.9,-0.006,3.27,106.1,102.8,-0.09,72.3
91,Texas A&M,14,7.49,107.2,99.7,67.4,-0.021,9.37,109,99.7,-0.19,70.4
92,South Dakota St. ,24,7.46,112.7,105.3,71,-0.034,-5.84,102.5,108.3,-4.58,84.9
93,Hofstra ,27,7.37,116.4,109,67.5,0.017,-5.59,102.4,108,-6.41,83.6
94,Arizona,17,7.35,105.5,98.2,66.7,-0.013,5.62,107.8,102.2,3.27,70.9
95,West Virginia,15,7.15,109.8,102.7,70.6,0.018,11.6,109.4,97.8,0.18,73.1
96,Northern Kentucky ,26,7.14,109.4,102.3,68.2,-0.001,-3.37,103.6,107,-2.57,79.1
97,Notre Dame,14,6.95,108,101.1,65.2,-0.055,7.73,108,100.3,-5.59,68.7
98,Connecticut,16,6.78,109,102.2,68.6,-0.07,3.79,105.6,101.8,-5.7,73.8
99,South Florida,24,6.63,102.6,95.9,67.5,-0.024,0.44,104.9,104.4,-7.43,72.3
100,Georgetown ,19,6.45,108.9,102.5,71.9,0.04,4.98,107.7,102.7,-4.53,79.9
